N° BIEN;ADRESSE;VILLE;CODE POSTAL;VALEUR D'ACHAT PLEINE PROPRIETE (HORS FRAIS);VALEUR TRANSACTION (HORS FRAIS); M2 ESTIME;NB PIECES;TYPE BIEN;DATE TRANSACTION;ANNEE DE CONSTRUCTION;ANNEXES;INFORMATIONS
14;14 AV DE FLIREY;NICE;6000;328 976;245 000;81;3;APPARTEMENT;19/05/2021;;CAVE ET GARAGE;1 ETAGE
334;"RESIDENCE LE CLOS DES SANS
 BD CAMILLE ST SAËNS";ST AYGULF;83370;276 717;161 200;79;3;APPARTEMENT;20/05/2021;24/06/1905;PARKING + TERRASSE DE 20M2;1 ETAGE
78;RT DE L'OCEAN;PRIMELIN;29770;392 889;225 000;143;7;MAISON;26/05/2021;30/05/1905;CAVE + SOUS SOL;TERRAIN DE 700M2 + JARDIN
26; ROUTE DE LA REINE;BOULOGNE BILLANCOURT;92100;475 295;315 000;63;3;APPARTEMENT;28/05/2021;;1 CAVE;2 ETAGE /7+ BALCON DE 3M2
3; AV LARREGUY;SAINT JEAN DE LUZ;64500;1 172 536;892 000;169;8;APPARTEMENT;04/06/2021;;GARAGE;
12; RUE SALIGNAC FENELON;NEUILLY SUR SEINE;92200;8 301 603;7 250 000;627;9;MAISON;10/06/2021;;PISCINE INTERIEURE + PARKING DOUBLE;
33; RUE DES GATINES;PARIS 20;75020;788 909;450 000;92;4;APPARTEMENT;17/06/2021;23/05/1905;CAVE+PARKING;2/7 ETAGE + TERRASSE 18M2
14;RUE ROBESPIERRE;IVRY S/SEINE;94205;435 150;220 000;76;3;APPARTEMENT;15/06/2021;09/06/1905;JARDIN TERRASSE 30M;DUPLEX SITUE AU 5 ET 6 ETAGE
1; CHEMIN DE FOUCOU;TOULON;83000;990 944;560 000;300;9;MAISON;28/06/2021;;STUDIO DE DANSE 40 M2 + APPART 35M2;1100 M2 DE TERRAIN
89;BIS DE MONS;BALMA;31130;404 107;277 000;138;5;MAISON;29/06/2021;13/06/1905;CAVE A VIN + GARAGE;TERRAIN DE 150M2+PISCINE (rachat de la nue pro asa fille)
